B_0 (kG),f_res (MHz),,,
1.9,8.185990321,8.1867269702,,
1.9,8.18654134,,,
1.9,8.18662003,,,
1.9,8.18734652,,,
1.9,8.18713664,,,
2,8.60665722,8.606837418,,
2,8.60711829,,,
2,8.60668618,,,
2,8.60667927,,,
2,8.60704613,,,
2.1,9.0470052,9.045098704,,
2.1,9.0442683,,,
2.1,9.04474202,,,
2.1,9.04461927,,,
2.1,9.04485873,,,
2.2,9.462986,9.4622372,,
2.2,9.46239,,,
2.2,9.462995,,,
2.2,9.462061,,,
2.2,9.460754,,,
2.302,9.89685,9.896659,,
2.302,9.896823,,,
2.302,9.89697,,,
2.302,9.896332,,,
2.302,9.89632,,,
2.4,10.318475,10.316542,,
2.4,10.31854,,,
2.4,10.30796,,,
2.4,10.318795,,,
2.4,10.31894,,,
2.5,10.741631,10.7417772,,
2.5,10.741654,,,
2.5,10.741862,,,
2.5,10.741582,,,
2.5,10.742157,,,
2.6,11.165402,11.165307,,
2.6,11.165402,,,
2.6,11.165633,,,
2.6,11.165212,,,
2.6,11.164886,,,
2.7,11.5662318,11.56480662,,
2.7,11.565743,,,
2.7,11.564999,,,
2.7,11.562327,,,
2.7,11.5647323,,,
2.8,12.039142,12.03665652,,
2.8,12.0377631,,,
2.8,12.0379561,,,
2.8,12.0302452,,,
2.8,12.0381762,,,
